Stradbroke Way	Upper Wortley	LS12	53.7910	-1.5892	1:H9AO;2:LFSA;3:IRA2;4:HDB5;5:H9AZ;6:IGZL;7:H9AY;8:HDB7;9:H9AW;10:HDB8;11:H9AV;12:IH8R;14:FVO9;15:H9AT;16:HDBA;17:H9AR;18:IH8S;19:H9AQ;20:HDBC;21:HBWZ;22:HDBE;23:FVO6;24:FVO8;25:HDAW;26:HDB6;27:HDAU;29:HDAT;31:HDAS;33:HDAQ;35:LFS9;37:HDAD;39:JG0C;41:GFPC;43:GFPE;45:GAOY;47:GAOW;49:GAOV;51:GAOU;53:GAOS;55:GAOR;57:IBK2;59:LR47;61:HDAX;63:HDAL;65:HDAK;67:HDAI;69:HDAG;71:HDAF;
Stratford Avenue	Beeston	LS11	53.7748	-1.5549	1:LZTR;2:F1PG;3:JMNZ;4:JMNX;5:JMNW;6:JMNT;7:JMOC;8:JMO2;9:JKUL;10:JMN9;12:JKUK;14:JKUG;15:JMNP;16:JMNM;17:JMNJ;18:JMNI;19:JMNF;20:JILK;21:F1PH;22:JILL;23:JMPB;24:JMP3;25:JMP6;26:FV4I;28:FRXP;BASEMENT FLAT, 11:FT87;FLAT 1, 11:EYG7;FLAT 1, 13:KDML;FLAT 2, 11:EYG8;FLAT 2, 13:MGD9;FLAT 3, 11:EYG9;FLAT 3, 13:IVPA;FLAT 4, 11:EYGA;FLAT 4, 13:IVPC;FLAT 5, 11:EYGB;FLAT 5, 13:HZ4E;FLAT 6, 13:LNLS;
Stratford Street	Beeston	LS11	53.7752	-1.5499	1:JMPI;2:EVPP;3:JMPD;4:JMOQ;5:JMON;6:JMOE;7:JMOJ;8:JMOF;9:JMOW;10:JMOY;11:JMOX;12:JMOV;13:JMDU;14:EVPH;15:F1PF;17:JMDT;18:JME5;19:JME3;20:JME1;21:EVPI;22:JMDY;23:JLIV;24:JLIU;25:F1P9;26:JLIS;30:HDRA;30:LZCO;31:EVPF;32:JMDJ;33:F1PA;34:JLTL;36:FRXJ;37:GSKH;38:JMTF;39:F1PE;40:JMTA;41:JMT7;42:GSKZ;44:LPZM;46:JLJT;47:GXA5;48:JMN8;49:JLTE;50:FRXH;51:JLTB;52:JLT8;53:JLJY;54:JLIG;55:JKHY;56:JMBT;57:FTR0;58:JMBN;59:JMBL;60:JMBR;61:F1CM;62:JKHZ;63:GSJQ;64:JKI1;65:GSJO;66:JK82;67:JK80;68:FTI7;69:JK7X;70:JK7U;71:JK7Z;72:JMBJ;73:JLBL;74:EYH9;75:GQGB;76:JKIC;77:FTR3;78:JLID;83:JLIA;85:JLIN;87:JLIK;91:JKIE;93:FTR5;95:JKIB;96:JKIA;98:JP57;99:F1CJ;100:JP55;101:JP5E;102:GVX3;103:FSGR;104:JMRR;105:JN1W;106:JMRX;107:JMRZ;108:JP51;109:JP5I;111:JNY1;113:JNXX;115:JP5T;117:LPZ3;119:F1CK;121:JP5O;123:JP5L;125:JP60;127:FTHT;129:JP5V;131:FTHS;139:JN3R;143:IM2A;145:IM27;147:IM23;153:JO4F;155:IM1L;159:IM1M;161:IM1Q;163:IM1N;167:JMSI;173:F1CG;177:JMSV;BASEMENT FLAT, 35:MDGN;BASEMENT FLAT, 108:EX6C;BASEMENT FLAT, 110:F1CH;BASEMENT FLAT, 169:GVZQ;FIRST FLOOR FLAT, 110:MAM5;FIRST FLOOR FLAT, 149:NOV2;FIRST FLOOR FLAT, 169:EYR2;FIRST FLOOR FRONT ROOM 3, 108:JMRW;FIRST FLOOR REAR FLAT 4, 108:JMRT;FLAT 1 GROUND FLOOR REAR, 36:MILQ;FLAT 1, 16:MKE8;FLAT 1, 35:L5QT;FLAT 1, 89:KEV8;FLAT 1, 97:KC85;FLAT 1, 112:LBBC;FLAT 1, 133:NYWD;FLAT 1, 141:L5QZ;FLAT 1, 151:HRRA;FLAT 1, 157:M97N;FLAT 1, 165:L3OY;FLAT 1, 171:L7DD;FLAT 1, 175:NKAJ;FLAT 1A, 97:MGZI;FLAT 2 SECOND FLOOR, 36:MILR;FLAT 2, 16:MKE9;FLAT 2, 35:L5QU;FLAT 2, 89:L5QV;FLAT 2, 97:L5QX;FLAT 2, 112:L5QY;FLAT 2, 133:NYWE;FLAT 2, 141:LBBD;FLAT 2, 151:LTOW;FLAT 2, 157:IM1V;FLAT 2, 165:KA28;FLAT 2, 171:L7DE;FLAT 2, 175:NKAK;FLAT 3, 16:MKEA;FLAT 3, 35:KC84;FLAT 3, 89:L5QW;FLAT 3, 97:LURR;FLAT 3, 112:M4WT;FLAT 3, 133:NYWF;FLAT 3, 141:L7DC;FLAT 3, 151:JGXY;FLAT 3, 157:IM1U;FLAT 3, 165:L3OZ;FLAT 3, 171:L7DF;FLAT 3, 175:NKAL;FLAT 3A, 35:NG5S;FLAT 4, 89:GWZ6;FLAT 4, 151:JMQ5;FLAT 4, 165:M4U6;FLAT 4, 171:M1DX;FLAT 4, 175:NKAM;FLAT 5, 151:JO4D;FLAT 5, 175:NKAN;FLAT, 80:LVGB;FLAT, 7981:LP3L;GROUND FLOOR FLAT, 110:M97M;GROUND FLOOR FLAT, 149:NOVD;GROUND FLOOR FLAT, 169:EYR1;GROUND FLOOR FRONT ROOM 1, 108:JP4Y;GROUND FLOOR REAR ROOM 2, 108:JP53;PARSONAGE, 114:JP66;ROOM 1 GROUND FLOOR FRONT, 36:MILN;ROOM 1, 100:KEDW;ROOM 1, 102:JP5F;ROOM 2 FIRST FLOOR FRONT, 36:MILO;ROOM 2, 100:KEDX;ROOM 2, 102:JP5J;ROOM 3 FIRST FLOOR REAR, 36:MILP;ROOM 3, 100:KEDY;ROOM 3, 102:JP5C;ROOM 4, 100:HQKH;ROOM 4, 102:KCK5;ROOM 5, 100:KEDZ;ROOM 5, 102:GVX4;ROOM 6, 151:KCK6;ROOM B, 30:LVX8;ROOM C, 30:M12K;ROOM D, 30:LVX9;ROOM E, 30:HT28;ROOM F, 30:LVXA;SECOND FLOOR FLAT, 110:JNY5;SECOND FLOOR FLAT, 149:NOVC;SECOND FLOOR ROOM 5, 108:E327;TOP FLOOR FLAT, 169:M5YK;
Stratford Terrace	Beeston	LS11	53.7747	-1.5495	2:GVX2;3:F1CF;4:JMQF;5:JMQV;6:JMS6;7:JMQW;8:EXAA;9:JMQS;10:JMQQ;11:JL7L;12:JMT1;13:JMK6;14:JMT2;15:JMK2;16:JMK1;17:LQ00;18:GSK7;20:JMT3;22:MC9U;24:JL63;26:JMK5;26:M5ER;28:JMJL;30:FRYM;32:JPAI;34:JPAF;36:FRYP;38:FSX4;40:JMJW;42:JMJO;44:JMJR;46:F1PD;48:JMJP;50:JL7K;52:JL7I;54:GSK9;56:JL7F;58:JL7B;60:JL7E;62:JL7M;66:JL6V;68:JL6L;70:JL73;72:JL6P;74:JL77;76:JL74;78:JL72;80:F1P7;82:JL6X;84:LPZW;86:JMHR;88:JMHH;90:F1PC;92:JMHI;94:JMHP;96:JMI2;98:JMI0;100:JMHY;102:JMHW;104:JMHV;106:JK66;108:JK64;110:JK63;112:JNYC;114:JNYA;116:JK6F;BASEMENT FLAT, 116:JH9J;FLAT 1, 64:F1P8;FLAT 2, 64:KA2W;FLAT 3, 64:JL6R;FLAT A, 17:HQWO;FLAT B, 17:HQWP;FLAT C, 17:HQWQ;ROOM 1, 2:LUTV;ROOM 1, 22:GWR3;ROOM 1, 66:JIPQ;ROOM 2, 2:KA2X;ROOM 2, 22:GXA4;ROOM 2, 66:KFDI;ROOM 3, 2:JMSO;ROOM 3, 22:M2ME;ROOM 3, 66:KFDJ;ROOM 4, 2:JMSE;ROOM 4, 22:FRWH;ROOM 4, 66:KFDK;ROOM 5, 2:JMQL;ROOM 5, 22:FRWI;ROOM 6, 22:FRWJ;ROOM 7, 22:FRWK;ROOM 8, 22:FRWL;
Strathmore Avenue	Harehills	LS9	53.8103	-1.5089	1:LE9U;3:FTI4;4:JK6E;5:JK6B;6:JMIB;7:FYZ2;8:JO9Z;9:JMIZ;10:FRYG;11:JMJ1;12:JMJ3;13:JPA8;14:JPA6;15:FZZZ;16:JOA5;17:LXY1;18:JMII;19:JMIF;20:JMIK;21:JMI9;22:JMIQ;23:JMID;24:JMIV;25:JMIL;26:JMIP;27:JMIM;28:FZZV;29:JMIO;30:JMIR;31:JMIT;32:JMIW;34:LNXF;36:JMIS;37:FZZU;38:JMIA;39:JMIC;40:JMIG;41:JMIJ;42:JOAA;43:LL7W;44:JOA7;45:JOA3;46:JPA9;47:JPAB;48:JOA8;49:JMJ2;50:FZZW;51:JMJ5;52:JOA0;53:JMI5;54:JK69;55:JK6C;56:JMHG;57:GSJK;58:JK6H;59:FZZP;60:JNY9;FLAT 1, 35:MG5N;FLAT 2, 35:MG5O;FLAT 3, 35:MG5P;
Strathmore Drive	Harehills	LS8	53.8115	-1.5098	3:GSJJ;6:JMHN;8:IQ9Y;8:L7DG;16:JMHJ;18:JMHL;20:JMHO;21:JMHQ;22:JMHT;23:JOA1;24:JL6Z;25:JL71;26:JL6W;27:JL76;28:JL78;29:JL75;30:JL6K;31:JL6M;32:FZZQ;33:JL6Q;34:JL6T;35:JL79;36:FQYJ;37:FZZR;38:JL7P;39:JKUC;40:JKUE;41:JL7O;43:JL7J;FLAT 1, 42:L7DH;FLAT AT, 1214:HS75;GROUND FLOOR FLAT, 42:L7DI;
Strathmore Street	Harehills	LS9	53.8102	-1.5076	1:FRYO;2:JMJQ;3:JMJZ;4:JMJU;5:JMJX;6:LPZZ;7:JPAD;8:JPAG;9:JMJN;10:JMJJ;10:NJR6;11:JMJK;12:JPAJ;13:JL62;14:JL65;15:JL68;16:JL6B;17:JL6C;18:JL69;19:FYZ8;20:JMK3;21:FZZX;22:FSX6;23:JMT0;24:JMHU;25:JMQR;26:JMQT;BASEMENT FLAT, 4:E0XD;
Strathmore Terrace	Harehills	LS9	53.8107	-1.5089	2:L7DJ;3:JMQO;4:JMQX;6:JMS5;8:FZZM;10:JMQE;12:JMQG;14:JMQJ;16:GTRB;18:JMQM;20:JMS7;22:JMSP;24:FZZN;26:JMSS;28:JMST;30:JMSW;32:JMS9;34:JMSC;38:JMSH;40:JMSJ;42:JMSM;44:JMQN;46:IM1P;48:IM1Y;50:FZQ9;52:GTR8;54:FSIH;56:IMC1;58:JO4B;60:JO4E;
Strathmore View	Harehills	LS9	53.8102	-1.5083	3:JK6I;6:JO4G;7:IM1J;9:IM1X;11:JMQ4;12:JMQ7;13:JMQ1;14:LUTR;15:JMQ8;16:FZQA;17:IM21;18:IM24;19:IM1Z;20:IM2B;21:JMPZ;22:JMSX;23:JP5Y;24:FTHU;25:JP61;26:JP64;27:JP5Q;28:FZZO;29:JP5M;30:JP5U;31:JP5R;32:JP5S;33:JP68;34:JNXV;36:JNXZ;37:JNY2;39:JNY4;41:JN3M;43:JK5C;45:JK5D;47:JN3L;49:JN3O;51:JN3Q;53:JN3T;55:JMRU;57:FSGS;59:JMRS;61:JP4Z;BASEMENT FLAT, 3:NST5;BASEMENT FLAT, 5:LC3F;BASEMENT FLAT, 55:GXLX;
Strawberry Avenue	Garforth	LS25	53.7917	-1.3910	1:K064;2:IAKK;3:KYJN;4:LKH9;5:K2U6;6:IJ8Q;7:K2UK;8:K2U9;9:L15Q;10:IJ8L;11:K2ST;12:LCAF;13:L167;14:K2UX;15:FXTM;16:L2H1;17:KY7K;18:L2HA;19:L2HI;20:IFQ6;21:L27C;22:K3VW;23:GX0G;24:L278;25:K3VZ;26:L279;27:IF0N;28:K2UT;29:FXS0;30:GUA3;31:K2V6;32:L2HJ;33:L2H9;34:IF11;35:L2HP;36:L2HM;37:L2GZ;38:LCB3;39:L161;40:L15Z;41:IJ8P;42:IJ8O;43:K2SR;44:K2SX;45:K2SQ;46:L15P;47:FXRZ;48:K2UD;49:K2UG;50:K2UA;51:K2UH;52:K2U4;53:LSZQ;54:LY1R;55:K063;56:K065;57:K060;58:KYJ9;59:KY9U;60:IG0T;61:KYJH;62:K06V;63:L09G;64:K06X;66:L09J;68:FXS3;70:K06D;72:IH0B;GARAGE SITE REAR OF 42:IF0W;GARAGE SITE REAR OF 64:GUA1;
